t	v
0	-60
0.1	-59.9989
0.2	-59.9996
0.3	-60
0.4	-60.0003
0.5	-60.0004
0.6	-60.0005
0.7	-60.0005
0.8	-60.0006
0.9	-60.0006
1	-60.0006
1.1	-60.0006
1.2	-60.0006
1.3	-60.0006
1.4	-60.0006
1.5	-60.0006
1.6	-60.0006
1.7	-60.0006
1.8	-60.0006
1.9	-60.0006
2	-60.0006
2.1	-60.0006
2.2	-60.0006
2.3	-60.0006
2.4	-60.0006
2.5	-60.0006
2.6	-60.0006
2.7	-60.0006
2.8	-60.0006
2.9	-60.0006
3	-60.0006
3.1	-60.0006
3.2	-60.0006
3.3	-60.0006
3.4	-60.0006
3.5	-60.0006
3.6	-60.0006
3.7	-60.0006
3.8	-60.0006
3.9	-60.0006
4	-60.0006
4.1	-60.0006
4.2	-60.0006
4.3	-60.0006
4.4	-60.0006
4.5	-60.0006
4.6	-60.0006
4.7	-60.0006
4.8	-60.0006
4.9	-60.0006
5	-60.0006
5.1	-60.0006
5.2	-60.0006
5.3	-60.0006
5.4	-60.0006
5.5	-60.0006
5.6	-60.0006
5.7	-60.0006
5.8	-60.0006
5.9	-60.0006
6	-60.0006
6.1	-60.0006
6.2	-60.0006
6.3	-60.0006
6.4	-60.0006
6.5	-60.0006
6.6	-60.0006
6.7	-60.0006
6.8	-60.0006
6.9	-60.0006
7	-60.0006
7.1	-60.0006
7.2	-60.0006
7.3	-60.0006
7.4	-60.0006
7.5	-60.0006
7.6	-60.0006
7.7	-60.0006
7.8	-60.0006
7.9	-60.0006
8	-60.0006
8.1	-60.0006
8.2	-60.0006
8.3	-60.0006
8.4	-60.0006
8.5	-60.0006
8.6	-60.0006
8.7	-60.0006
8.8	-60.0006
8.9	-60.0006
9	-60.0006
9.1	-60.0006
9.2	-60.0006
9.3	-60.0006
9.4	-60.0006
9.5	-60.0006
9.6	-60.0006
9.7	-60.0006
9.8	-60.0006
9.9	-60.0006
10	-60.0006
10.1	-60.0006
10.2	-60.0006
10.3	-60.0006
10.4	-60.0006
10.5	-60.0006
10.6	-60.0006
10.7	-60.0006
10.8	-60.0006
10.9	-60.0006
11	-60.0006
11.1	-60.0006
11.2	-60.0006
11.3	-60.0006
11.4	-60.0006
11.5	-60.0006
11.6	-60.0006
11.7	-60.0006
11.8	-60.0006
11.9	-60.0006
12	-60.0006
12.1	-60.0006
12.2	-60.0006
12.3	-60.0006
12.4	-60.0006
12.5	-60.0006
12.6	-60.0006
12.7	-60.0006
12.8	-60.0006
12.9	-60.0006
13	-60.0006
13.1	-60.0006
13.2	-60.0006
13.3	-60.0006
13.4	-59.9996
13.5	-59.9964
13.6	-59.9914
13.7	-59.9849
13.8	-59.977
13.9	-59.968
14	-59.9581
14.1	-59.9474
14.2	-59.9362
14.3	-59.9245
14.4	-59.9124
14.5	-59.9001
14.6	-59.8876
14.7	-59.875
14.8	-59.8625
14.9	-59.8499
15	-59.8376
15.1	-59.8253
15.2	-59.8133
15.3	-59.8014
15.4	-59.7899
15.5	-59.7786
15.6	-59.7666
15.7	-59.7528
15.8	-59.7374
15.9	-59.7209
16	-59.7034
16.1	-59.6851
16.2	-59.6663
16.3	-59.6471
16.4	-59.6277
16.5	-59.6081
16.6	-59.5886
16.7	-59.5691
16.8	-59.5498
16.9	-59.5308
17	-59.5121
17.1	-59.4938
17.2	-59.4759
